dish_id,bucket,bucket_reason,b_name_raw,b_name_norm,b_kcal,b_prot,b_fat,b_carb,b_weight_g,b_kbzhu_parse_ok,top1_okolo_id,top1_plu,top1_name,top1_name_score,top1_kbju_diff_pct,top1_weight_diff_g,top1_combined,top1_mutual,top2_okolo_id,top2_plu,top2_name,top2_combined,top3_okolo_id,top3_plu,top3_name,top3_combined
489,REVIEW,review_threshold,СПК Матча-латте холодный с овс.нап.,матча латте холодный с овс нап,69,2.7,3,7.8,350,True,1800452,78035069,"Матча Латте, 400мл",100,0.0,50,1.000,False,1621413,78035068,"Матча Латте, 200мл",1.000,1625199,78035079,"Матча-латте холодный, 350мл",0.933
490,REVIEW,review_threshold,СПК Матча-латте холодный соев.нап.,матча латте холодный соев нап,58,2.7,3,7.8,350,True,1800452,78035069,"Матча Латте, 400мл",100,4.0,50,0.984,False,1621413,78035068,"Матча Латте, 200мл",0.984,1625199,78035079,"Матча-латте холодный, 350мл",0.949
496,REVIEW,review_threshold,СПК Напиток с манго/марак/апел.гор.,напиток с манго марак апел гор,38.2,0.4,0.1,8.9,400,True,1624323,78035150,"Напиток с манго маракуйей и апельсином горячий, 400мл",79,0.0,0,0.874,True,2123193,4441205,"Манго Перекрёсток Select, 140г",0.805,2113382,78037324,"Напиток горячий с манго и малиной, 400мл",0.649
497,REVIEW,review_threshold,СПК Напиток с медом/имбир/лим.гор.,напиток с медом имбир лим гор,58.5,0.4,0.1,14,400,True,1624446,78035151,"Напиток с медом имбирем и лимоном горячий, 400мл",83,0.0,0,0.897,True,2113382,78037324,"Напиток горячий с манго и малиной, 400мл",0.680,2015962,78036423,Напиток чайный с имбирем и лимоном 400мл,0.654
498,REVIEW,review_threshold,СПК Напиток с облепихой/кор/яб.гор.,напиток с облепихой кор яб гор,66.3,0.5,2,2.9,400,True,1624324,78035152,"Напиток с облепихой корицей и яблоком горячий, 400мл",80,0.0,0,0.880,True,2113382,78037324,"Напиток горячий с манго и малиной, 400мл",0.561,2113381,78037325,"Напиток горячий с черникой и яблоком, 400мл",0.553
500,REVIEW,review_threshold,СПК Латте МАЛИНА МОЖЖЕВЕЛЬНИК,латте малина можжевельник,92,4.3,4.5,8.5,400,True,2025500,78036742,"Латте, 400мл",100,0.0,0,1.000,False,2033483,78035799,"Латте Малина Можжевельник с соевым напитком, 400мл",0.809,1852056,78035795,"Латте Малина Можжевельник с миндальным напитком, 400мл",0.809
501,REVIEW,review_threshold,СПК Латте МАЛИНА МОЖЖ.С КОКОС.НАП.,латте малина можж с кокос нап,42.7,1.5,2.2,6.7,400,True,1590556,78034443,"Латте, 400мл",100,30.3,0,0.879,False,1589323,78034441,"Латте, 200мл",0.879,2025500,78036742,"Латте, 400мл",0.809
502,REVIEW,review_threshold,СПК Латте МАЛИНА МОЖЖ.С МИНД .НАП.,латте малина можж с минд нап,42.7,1.5,2.2,6.7,400,True,1590556,78034443,"Латте, 400мл",100,30.3,0,0.879,False,1589323,78034441,"Латте, 200мл",0.879,1407299,78031250,"Латте, 400мл",0.858
503,REVIEW,review_threshold,СПК Латте МАЛИНА МОЖЖ.С ОВС.НАП.,латте малина можж с овс нап,42.7,1.5,2.2,6.7,400,True,1590556,78034443,"Латте, 400мл",100,30.3,0,0.879,False,1589323,78034441,"Латте, 200мл",0.879,1407299,78031250,"Латте, 400мл",0.858
504,REVIEW,review_threshold,СПК Латте МАЛИНА МОЖЖ.С СОЕВЫМ НАП.,латте малина можж с соевым нап,42.7,1.5,2.2,6.7,400,True,2033483,78035799,"Латте Малина Можжевельник с соевым напитком, 400мл",82,0.0,0,0.894,False,1590556,78034443,"Латте, 400мл",0.879,1589323,78034441,"Латте, 200мл",0.879
505,REVIEW,review_threshold,СПК Латте МОРКОВНЫЙ ПИРОГ,латте морковный пирог,92,4.3,4.5,8.5,400,True,2025500,78036742,"Латте, 400мл",100,0.0,0,1.000,False,1838833,78035801,"Латте Морковный Пирог, 400мл",1.000,1407299,78031250,"Латте, 400мл",0.838
